0	Алжир вырос на средиземноморском побережье из древнего поселения. В X веке он стал торговым центром, а с 1962 года — столицей независимого Алжира.	getty
1	Луанду основали португальцы в 1576 году. В XVII веке город стал административным центром колонии; его история тесно связана с атлантической работорговлей.	getty
2	Порту-Ново возник как торговый порт и в XIX веке был резиденцией местного королевства. Он связан дорогами и железной дорогой с Котону — крупнейшим городом Бенина.	getty
3	Габороне стал местом работы правительства Ботсваны в 1965 году, ещё до независимости страны. Здесь находятся парламент, университет и национальный музей.	getty
4	Уагадугу возник в XI веке как столица государства мосси Вагадугу. Университет города открылся в 1969 году, укрепив его роль образовательного центра страны.	getty
7	Яунде был основан в 1888 году и стал местом работы правительства Камеруна после независимости. В городе расположены университет, профессиональные школы и исследовательские институты.	getty
8	Банги расположен на западном берегу реки Убанги. Здесь работают Университет Банги и музей Боганды; в документе Всемирного банка численность жителей города на 2024 год оценена примерно в 1,46 млн человек.	getty,bangui-pop
10	Морони возник как поселение арабоязычных жителей и сохранил традиционный облик с множеством мечетей. Город служит торговым центром островного государства Коморы.	getty
13	Киншаса выросла из торгового пункта на реке Конго. Железная дорога из Матади, завершённая в 1898 году, ускорила рост города; здесь происходили события борьбы за независимость.	getty
14	Джибути построен на трёх прибрежных плато, соединённых дамбами. Его порт связывает торговлю Эфиопии с Красным морем, поэтому морские перевозки определяют роль города.	getty
15	Каир вырос рядом с ранним арабским военным поселением Фустат. В X веке Фатимиды заложили новую часть города, который позднее стал крупным торговым и культурным центром.	getty
17	Малабо расположен на северной окраине острова Биоко и долго был финансовым центром Экваториальной Гвинеи. С 2026 года столицей объявлен Сьюдад-де-ла-Пас, а учреждения переносят постепенно.	getty
18	Асмэра выросла из поселения тиграи; во время итальянского правления город заметно расширился. Католический собор и Большая мечеть напоминают о нескольких религиозных традициях его жителей.	getty
21	Аддис-Абеба возникла в конце XIX века на плато среди холмов. Императорский двор выбрал место рядом с горячими источниками, после чего вокруг резиденций быстро вырос новый город.	getty
22	Либревиль получил название от освобождённых людей, поселившихся здесь в XIX веке. Позднее город стал торговым и образовательным центром на атлантическом побережье Габона.	getty
24	Аккра сложилась из поселений народа га. В XVII веке у побережья появились торговые крепости; с 1876 года город был столицей Золотого Берега, а с 1957 года — независимой Ганы.	getty
25	Конакри возник на месте поселения народа сусу и стал столицей французской колонии в конце XIX века. Порт и образовательные учреждения укрепили его значение для Гвинеи.	getty
26	Бисау начинался как португальский укреплённый торговый пост. Глубокий подход к гавани сделал его важным портом; в городе также работают университет и исследовательский институт.	getty
27	Найроби вырос из железнодорожного депо, основанного в 1899 году у водного источника. Название связывают с масайским выражением, означающим «прохладная вода».	getty
28	Масеру был основан в XIX веке по инициативе вождя басуто Мошвешве. Железнодорожное сообщение с ЮАР сделало его транспортным выходом для сельскохозяйственной продукции Лесото.	getty
29	Монровию основали в 1822 году как поселение для ранее порабощённых людей, прибывших из Северной Америки. Город назвали в честь президента США Джеймса Монро.	getty
30	Триполи возник как финикийский торговый пункт у естественной гавани. При римлянах он процветал, а позднее стал важным административным городом североафриканского побережья.	getty
31	Антананариву стоит на базальтовом хребте. Город был исторической столицей правителей Имерины, а железная дорога позднее связала его с портом Туамасина.	getty
32	Лилонгве находится на внутренних равнинах Малави и обслуживает сельскохозяйственные районы Центрального плато. Столичные функции он получил в 1975 году.	getty
33	Бамако расположен по обе стороны реки Нигер. Рынки, учебные заведения и исследовательские институты сделали город главным промышленным и образовательным узлом Мали.	getty
34	Нуакшот вырос на пути между более населённым югом Мавритании и её северными районами. Как столицу его начали развивать в конце 1950-х годов.	getty
